tahun ;Beras;Beras Kualitas Bawah I;Beras Kualitas Bawah II;Beras Kualitas Medium I;Beras Kualitas Medium II;Beras Kualitas Super I;Beras Kualitas Super II;Daging Ayam;Daging Ayam Ras Segar;Daging Sapi;Daging Sapi Kualitas 1;Bawang Merah;Bawang Merah Ukuran Sedang;Bawang Putih;Bawang Putih Ukuran Sedang;Cabai Rawit;Cabai Rawit Hijau;Cabai Rawit Merah;Minyak Goreng;Minyak Goreng Curah;Minyak Goreng Kemasan Bermerk 1;Minyak Goreng Kemasan Bermerk 2;Gula Pasir;Gula Pasir Kualitas Premium;Gula Pasir Lokal
 04/ 2020;11,8;10,6;10,15;11,75;11,4;13,95;12,95;21,65;21,65;123,75;123,75;48,25;48,25;31,4;31,4;31,5;26,25;36,75;12,5;11,7;13,35;12,45;15,85;14,1;17,6
 05/ 2020;11,8;10,6;10,15;11,65;11,4;13,95;12,95;37,1;37,1;122,5;122,5;53,9;53,9;25,65;25,65;35,85;34,15;37,5;12,2;10,8;13,35;12,45;15,4;14,1;16,7
 06/ 2020;11,8;10,6;10,15;11,65;11,4;13,95;12,95;33,25;33,25;120;120;35,75;35,75;18,75;18,75;31,5;27,5;35,5;12,05;10,4;13,35;12,45;13,95;14,05;13,9
 07/ 2020;11,8;10,6;10,15;11,65;11,4;13,95;12,95;30,25;30,25;120;120;31,15;31,15;17;17;26,9;26,15;27,65;12,25;10,95;13,35;12,45;13,7;14,05;13,4
 08/ 2020;11,8;10,6;10,15;11,85;11,4;13,95;12,95;27,45;27,45;120;120;26,9;26,9;21;21;21,9;21,4;22,4;12,75;12,15;13,4;12,7;13,7;14,05;13,4
 09/ 2020;11,8;10,6;10,15;11,85;11,4;13,95;12,95;29,85;29,85;120;120;25,25;25,25;21,4;21,4;24,2;23,15;25,25;13,1;12,9;13,65;12,8;13,6;14,1;13,15
 10/ 2020;11,8;10,6;10,15;11,85;11,4;13,95;12,95;29,85;29,85;120;120;25,25;25,25;21,4;21,4;24,2;23,15;25,25;13,1;12,9;13,65;12,8;13,6;14,1;13,15
 11/ 2020;11,8;10,6;10,15;11,85;11,4;13,95;12,95;32,75;32,75;120;120;28,9;28,9;23,75;23,75;43,5;30,9;56,15;13,5;13,2;14,1;13,15;13,65;14,1;13,2
 12/ 2020;11,8;10,6;10,15;11,85;11,4;13,95;12,95;34,4;34,4;120;120;26,65;26,65;23;23;59,35;50,4;68,25;13,5;13,2;14,1;13,15;13,65;14,1;13,2
 01/ 2021;11,8;10,6;10,15;11,85;11,4;13,95;12,95;32,75;32,75;120;120;26,15;26,15;23;23;82,2;76,65;87,75;13,6;13,55;14,1;13,15;13,65;14,1;13,2
